covariate,coef,exp(coef),p,coef lower 95%,coef upper 95%
Age at Diagnosis,0.030340688678728602,1.0308056579557694,2.1291087295415745e-22,0.02423241773199697,0.036448959625460235
Neoplasm Histologic Grade,-0.007107458042463378,0.9929177402036151,0.921914830155524,-0.14922211478787253,0.13500719870294578
Lymph nodes examined positive,0.042984067134347916,1.043921262060889,1.1998624573660244e-05,0.023739052413469963,0.06222908185522587
Nottingham prognostic index,0.1382677109837473,1.1482829170789595,0.008735264432272153,0.0349212473332359,0.2416141746342587
Tumor Size,0.007860022857925877,1.0078909939288536,0.00013968148516376372,0.003815274265937336,0.01190477144991442
Tumor Stage,0.1823388274180311,1.2000207249278574,0.006738828523232458,0.05044000501040308,0.3142376498256591
Chemotherapy_YES,0.03894460022687569,1.0397128821968307,0.7125775640046329,-0.16825064167250298,0.24613984212625434
Hormone Therapy_YES,-0.12432337225048837,0.8830942265379342,0.11347420281439272,-0.2782746972362182,0.02962795273524152
Radio Therapy_YES,-0.21843363959981996,0.8037768166261049,0.0028495312894169234,-0.3619292498278053,-0.07493802937183466
ER Status_Positive,-0.13094443511748424,0.8772665182478291,0.19074280901654467,-0.3270995473196606,0.06521067708469214
HER2 Status_Positive,0.3066567470185432,1.3588744503032615,0.003401964296062977,0.10144581777350861,0.5118676762635778
PR Status_Positive,-0.02472817034584629,0.9755750662211655,0.7457153515263621,-0.174179907101136,0.12472356640944343
