covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Age at Diagnosis,0.03203557255040214,1.0325542352394017,0.0025867135570539867,0.02696570714025483,0.03710543796054945,1.0273325719876079,1.0378024388422549,0.0,12.384661789489948,3.164159840054641e-35,114.60566084051702
Neoplasm Histologic Grade,0.06253611758046172,1.0645329065764444,0.051687345730410755,-0.03876921850761349,0.16384145366853692,0.9619726890237656,1.178027528342955,0.0,1.2098922221047228,0.2263202521519943,2.1435624056782885
Lymph nodes examined positive,0.03861911153724771,1.0393745224823325,0.00659399890756446,0.025695111164324907,0.05154311191017051,1.0260280762747003,1.0528945776101222,0.0,5.856705783336557,4.7213847008400134e-09,27.658142814725267
Nottingham prognostic index,0.10662693983823619,1.1125191404823789,0.033104476479364264,0.0417433582116289,0.17151052146484347,1.0426268627888426,1.187096632662068,0.0,3.220922098094567,0.0012777887566746118,9.612134934204974
Tumor Size,0.007168035933024841,1.0071937877959145,0.001682125044895539,0.0038711314275367632,0.01046494043851292,1.0038786339347414,1.0105198894397696,0.0,4.261297906940076,2.0324309327576337e-05,15.586434147800023
Tumor Stage,0.2012267941188567,1.2229020873767247,0.057933106894965065,0.08767999109221608,0.3147735971454973,1.091638732008895,1.3699491154534855,0.0,3.4734334977699115,0.0005138446846454321,10.926380025096536
Chemotherapy_NO,-0.106610552551161,0.8988756696696012,0.13119382519274125,-0.3637457249229775,0.1505246198206555,0.6950679107212585,1.1624439239117679,0.0,-0.8126186761803451,0.41643672036549095,1.263830807341614
Chemotherapy_YES,0.10476994644492874,1.1104551168208623,0.1315647489457534,-0.15309222312380197,0.3626321160136594,0.8580505860569503,1.437107073302309,0.0,0.7963375241807921,0.42583588074002465,1.2316305791394537
Hormone Therapy_NO,0.019505855746541696,1.019697337932336,0.10810982504578573,-0.19238550771812463,0.23139721921120804,0.8249887676431632,1.2603597791479693,0.0,0.18042630018391712,0.8568179085614962,0.2229394603607602
Hormone Therapy_YES,-0.02090879047144488,0.9793082827428425,0.10804611494083188,-0.2326752844249504,0.19085770348206066,0.7924108398944066,1.2102872201704529,0.0,-0.19351728179115865,0.8465538729453426,0.24032621370325577
Radio Therapy_NO,0.12064069675293919,1.1282194666149663,0.10621447462699571,-0.0875358481528158,0.3288172416586942,0.9161860274854589,1.3893239218485696,0.0,1.1358216210794765,0.25603122635930337,1.9656083183871855
Radio Therapy_YES,-0.12198012873377272,0.8851659576962675,0.10619011893683421,-0.33010893736399255,0.0861486798964471,0.7188454200411991,1.0899683726432376,0.0,-1.1486956597753788,0.25068149615541774,1.9960725861109687
ER Status_Positive,-0.06914976841065748,0.9331869076917078,0.08342859624868977,-0.2326668123388229,0.09436727551750793,0.7924175532957288,1.09896329411852,0.0,-0.8288497172424073,0.40718945124746597,1.296227907810924
HER2 Status_Negative,-0.1390381011560222,0.8701948723960106,0.15650157537323942,-0.44577555241135214,0.16769935009930773,0.6403274758919636,1.1825810143309716,0.0,-0.8884134285832669,0.3743184046174092,1.4176621099743878
HER2 Status_Positive,0.1364549402655837,1.14620322899905,0.15692058105128875,-0.1711037470280407,0.4440136275592081,0.8427341377738788,1.5589517301841647,0.0,0.8695796265308502,0.38453017563329583,1.378831278161084
PR Status_Negative,0.033813880267112864,1.0343920680356453,0.10543197186473414,-0.17282898740680636,0.24045674794103206,0.8412814722697356,1.2718299233767045,0.0,0.32071751736271226,0.7484244710719722,0.41807136405184436
PR Status_Positive,-0.03515264968265166,0.9654580281468684,0.10542654922957681,-0.2417848891869612,0.17147958982165787,0.7852250697890858,1.187059914380481,0.0,-0.3334326119894455,0.7388077494041289,0.4367290959624196
